customer_id,first_name,last_name,date_of_birth,occupation,income,phone
1,First_1,Last_1,1996-01-31,Artist,2800.33,0931289505
2,First_2,Last_2,1980-07-09,Student,1642.01,0997550613
3,First_3,Last_3,2003-05-17,Manual Worker,2752.55,0939276885
4,First_4,Last_4,1987-12-29,Artist,1763.67,0978814004
5,First_5,Last_5,1994-02-11,Manual Worker,782.51,0924963293
7,First_7,Last_7,1999-06-03,Teacher,887.15,0917600201
9,First_9,Last_9,1990-10-26,Freelancer,2238.56,0919124533
10,First_10,Last_10,1989-04-13,Retired/Unemployed,322.41,0922281477
12,First_12,Last_12,1981-04-07,Office Worker,2771.04,0985775752
13,First_13,Last_13,1981-01-19,Office Worker,2390.06,0942272799
15,First_15,Last_15,1982-05-04,Manual Worker,1290.77,0974287105
16,First_16,Last_16,1990-01-07,Healthcare Worker,1418.99,0973093081
17,First_17,Last_17,1983-06-11,Teacher,2766.96,0968392826
18,First_18,Last_18,1996-01-15,Teacher,2243.84,0926420347
19,First_19,Last_19,1991-12-06,Office Worker,1466.5,0915077176
20,First_20,Last_20,1995-02-15,Manual Worker,1744.86,0981094550
21,First_21,Last_21,1988-04-06,Freelancer,553.24,0992575562
22,First_22,Last_22,2000-05-04,Manual Worker,2161.39,0927460666
23,First_23,Last_23,2000-10-21,Family Business Owner,793.33,0930112580
24,First_24,Last_24,1998-02-04,Healthcare Worker,1867.04,0945483887
25,First_25,Last_25,1997-01-13,Artist,2072.92,0999332077
26,First_26,Last_26,1991-08-30,Student,204.91,0975866586
27,First_27,Last_27,1989-08-14,Artist,990.37,0972118768
28,First_28,Last_28,1995-08-29,Office Worker,2472.95,0975879241
29,First_29,Last_29,2001-03-04,Driver,2157.13,0944917835
30,First_30,Last_30,1991-01-15,Artist,482.65,0998118500
31,First_31,Last_31,1987-12-30,Healthcare Worker,776.69,0995300248
34,First_34,Last_34,1997-01-28,Teacher,789.46,0999623103
35,First_35,Last_35,1998-08-01,Retired/Unemployed,2701.03,0931784887
36,First_36,Last_36,1993-10-25,Manual Worker,2133.61,0966155657
37,First_37,Last_37,1995-05-24,Artist,2441.7,0946997893
38,First_38,Last_38,1984-07-10,Freelancer,715.48,0958996572
39,First_39,Last_39,1980-06-21,Freelancer,229.8,0969707481
41,First_41,Last_41,1986-01-17,Manual Worker,1718.69,0961053648
42,First_42,Last_42,2000-02-06,Freelancer,2290.28,0932380972
43,First_43,Last_43,2001-03-08,Student,1567.2,0918990667
44,First_44,Last_44,1983-09-04,Driver,689.67,0994264294
46,First_46,Last_46,2000-11-02,Teacher,465.76,0924327709
47,First_47,Last_47,1985-03-15,Healthcare Worker,433.6,0961352093
49,First_49,Last_49,1990-03-10,Teacher,2898.26,0986625068
51,First_51,Last_51,1994-07-07,Freelancer,2502.35,0954120459
53,First_53,Last_53,1994-04-01,Teacher,367.96,0987237054
54,First_54,Last_54,1990-08-12,Artist,383.31,0975798570
55,First_55,Last_55,1989-10-13,Teacher,1112.46,0928975752
57,First_57,Last_57,2001-08-06,Office Worker,530.98,0938154049
58,First_58,Last_58,2002-06-22,Freelancer,1199.31,0957235176
59,First_59,Last_59,1999-07-25,Office Worker,870.58,0963390582
60,First_60,Last_60,1994-03-24,Teacher,2319.55,0945474440
61,First_61,Last_61,1985-11-06,Teacher,2090.89,0927449907
62,First_62,Last_62,1996-01-01,Office Worker,1041.29,0952266905
63,First_63,Last_63,1985-10-06,Student,2718.61,0983256566
65,First_65,Last_65,1997-09-08,Driver,2811.03,0938033199
66,First_66,Last_66,2000-12-22,Student,1382.13,0952425831
68,First_68,Last_68,1984-06-22,Retired/Unemployed,761.4,0914072168
69,First_69,Last_69,2000-12-27,Healthcare Worker,392.05,0931356959
72,First_72,Last_72,1987-12-08,Manual Worker,1219.34,0984266200
73,First_73,Last_73,1984-08-24,Artist,2309.04,0962892985
74,First_74,Last_74,1983-12-14,Manual Worker,1619.84,0948881922
75,First_75,Last_75,1993-12-12,Teacher,1634.94,0931794675
76,First_76,Last_76,1992-11-11,Family Business Owner,1942.21,0942181633
77,First_77,Last_77,1989-09-12,Teacher,741.77,0974182846
78,First_78,Last_78,1988-04-25,Artist,1038.63,0973785683
79,First_79,Last_79,1989-02-25,Teacher,2411.48,0937285466
80,First_80,Last_80,1987-04-29,Office Worker,2929.77,0944518905
81,First_81,Last_81,1999-01-01,Student,2703.67,0959004386
83,First_83,Last_83,1986-09-02,Office Worker,1135.05,0970756767
84,First_84,Last_84,1990-05-06,Student,1395.77,0910323856
86,First_86,Last_86,1993-11-12,Retired/Unemployed,2053.05,0911125835
87,First_87,Last_87,1989-04-14,Student,2746.15,0965235356
88,First_88,Last_88,1991-04-18,Freelancer,1383.03,0922005909
89,First_89,Last_89,1994-12-03,Teacher,703.81,0931269407
90,First_90,Last_90,1993-05-06,Family Business Owner,874.2,0944799291
91,First_91,Last_91,2001-02-08,Office Worker,2929.05,0939407638
92,First_92,Last_92,1991-07-05,Student,1387.05,0985227140
93,First_93,Last_93,1983-10-24,Office Worker,429.08,0991736404
94,First_94,Last_94,1996-04-09,Artist,2340.04,0926839371
96,First_96,Last_96,1990-12-15,Teacher,208.35,0940427044
97,First_97,Last_97,1997-06-16,Family Business Owner,415.4,0924415028
98,First_98,Last_98,1999-10-22,Manual Worker,286.71,0932199951
100,First_100,Last_100,2002-10-19,Student,733.29,0921249529
101,First_101,Last_101,1991-03-29,Healthcare Worker,759.69,0992593686
103,First_103,Last_103,1993-01-18,Teacher,1067.0,0987304777
104,First_104,Last_104,1992-02-19,Teacher,1450.62,0977476347
106,First_106,Last_106,1992-06-22,Student,2141.64,0986521609
107,First_107,Last_107,2003-05-30,Student,1808.09,0935454982
