staff_id,full_name,date_of_birth,hire_date,termination_date,phone
1,Staff_000001,1984-05-12,2023-04-13,,0993362817
2,Staff_000002,1986-03-05,2022-01-06,,0987288380
3,Staff_000003,1999-12-06,2023-04-13,2023-12-23,0932254126
4,Staff_000004,1997-04-10,2023-05-30,,0916614943
5,Staff_000005,1993-01-27,2022-03-05,2024-12-27,0934190344
6,Staff_000006,1983-01-14,2025-01-18,2025-05-24,0962097673
7,Staff_000007,1994-11-23,2022-01-07,2023-08-28,0964677909
8,Staff_000008,1990-07-21,2022-11-16,,0983203000
9,Staff_000009,1986-11-25,2022-07-28,,0938109133
10,Staff_000010,1993-07-09,2022-08-23,,0926983301
11,Staff_000011,1997-08-14,2025-12-30,,0953869929
12,Staff_000012,1983-10-25,2025-03-02,,0945137382
13,Staff_000013,1987-12-04,2025-01-02,2025-11-03,0997597695
14,Staff_000014,1993-08-20,2023-05-26,,0967982205
15,Staff_000015,1996-07-01,2025-02-07,2025-08-02,0969058778
16,Staff_000016,1993-09-12,2024-03-01,,0935834137
17,Staff_000017,1985-02-28,2024-04-06,,0983894361
18,Staff_000018,1994-12-19,2023-12-23,2024-11-16,0929516782
19,Staff_000019,1990-06-24,2023-07-22,,0988830740
20,Staff_000020,2001-08-24,2022-02-27,2023-04-25,0940511928
21,Staff_000021,1988-07-21,2024-04-02,,0960500977
22,Staff_000022,1984-07-17,2022-09-18,,0953642515
23,Staff_000023,1995-09-03,2022-10-15,,0957143437
24,Staff_000024,1984-02-12,2025-12-07,,0996646008
25,Staff_000025,1982-11-27,2023-05-21,,0918101672
26,Staff_000026,1990-04-18,2025-04-19,,0917849898
27,Staff_000027,1985-01-04,2023-03-03,,0940894173
28,Staff_000028,1995-08-16,2023-09-14,,0998133982
29,Staff_000029,2000-07-08,2025-05-19,,0970670629
30,Staff_000030,2000-10-14,2024-10-07,,0994653625
31,Staff_000031,1992-05-14,2023-09-15,,0987000445
32,Staff_000032,1981-11-18,2025-03-23,,0924140958
33,Staff_000033,1991-04-15,2022-04-06,,0974338015
34,Staff_000034,1991-01-14,2024-09-13,2025-12-01,0929281843
35,Staff_000035,2003-01-07,2025-11-15,,0959117030
36,Staff_000036,1984-01-06,2024-12-19,,0969469934
37,Staff_000037,1986-04-09,2024-11-24,,0911308912
38,Staff_000038,1993-09-27,2023-11-24,2024-03-19,0920282181
39,Staff_000039,1995-01-11,2022-08-11,,0977198910
40,Staff_000040,1997-05-31,2024-10-28,,0913614595
41,Staff_000041,1997-10-27,2024-01-01,,0988764107
42,Staff_000042,1993-08-08,2024-03-21,,0940052590
43,Staff_000043,1982-01-13,2023-08-28,,0951454043
44,Staff_000044,1985-09-22,2025-02-05,,0979558297
45,Staff_000045,1992-09-11,2023-08-01,,0926816100
46,Staff_000046,1986-03-23,2022-07-29,,0953527383
47,Staff_000047,1981-10-02,2022-10-30,,0918985670
48,Staff_000048,1992-03-23,2024-02-13,,0952170772
49,Staff_000049,1996-01-08,2023-03-24,,0995905374
50,Staff_000050,1992-09-25,2024-03-17,,0936783069
51,Staff_000051,1986-03-21,2023-12-07,,0957413366
52,Staff_000052,1993-04-21,2024-03-07,,0941464352
53,Staff_000053,1990-06-12,2022-04-25,,0935575358
54,Staff_000054,2002-05-19,2023-09-16,,0937355165
55,Staff_000055,1984-05-03,2023-01-14,,0922056159
56,Staff_000056,1995-06-01,2023-01-05,,0917957375
57,Staff_000057,1994-10-14,2025-02-02,,0941003300
58,Staff_000058,1980-08-24,2023-12-09,2024-03-23,0931710725
59,Staff_000059,1995-02-12,2024-04-09,,0947245328
60,Staff_000060,1988-03-14,2022-04-26,,0920979581
61,Staff_000061,2003-01-22,2025-10-09,,0951229810
62,Staff_000062,1988-05-13,2023-11-04,2025-02-13,0932878472
63,Staff_000063,1996-09-15,2023-01-08,,0954620487
64,Staff_000064,2002-10-30,2023-05-04,,0957050804
65,Staff_000065,1984-07-16,2024-08-21,,0937146834
66,Staff_000066,1981-10-13,2022-01-09,,0961436294
67,Staff_000067,1982-01-14,2025-07-11,,0931318854
68,Staff_000068,1982-04-30,2024-06-10,,0917937939
69,Staff_000069,1990-10-19,2024-10-07,2025-10-23,0945355642
70,Staff_000070,1987-11-15,2024-12-08,,0938222962
71,Staff_000071,1988-05-19,2023-12-19,,0910478308
72,Staff_000072,1989-07-30,2024-11-03,,0993201133
73,Staff_000073,1997-01-09,2022-04-10,,0949532076
